Year and month,Population increase [person],Natural increase [person],Number of births [person],Deaths [person],social increase [person],"
Number of immigrants [person]",Move out number [person],Population growth rate [per thousand],Natural rate of increase [per thousand],Crude birth rate [per thousand],Crude death rate [per thousand],Social increase rate [per thousand],"Immigrant rate [per thousand]
",Emigration rate [per thousand],Total population mobility [per thousand]
108年7月,-3644,218,1799,1581,-3862,19422,23284,-16.14,0.97,7.98,7.01,-17.12,86.1,103.23,189.33
108年8月,-3854,339,1718,1379,-4193,17864,22057,-17.1,1.51,7.63,6.12,-18.62,79.31,97.92,177.23
108年9月,-2990,396,1657,1261,-3386,21224,24610,-13.73,1.82,7.61,5.79,-15.55,97.49,113.05,210.54
108年10月,-960,400,2018,1618,-1360,15678,17038,-4.27,1.78,8.98,7.2,-6.05,69.75,75.8,145.54
108年11月,-911,270,1677,1407,-1181,13780,14961,-4.19,1.24,7.71,6.47,-5.43,63.37,68.8,132.17
108年12月,-252,544,2123,1579,-796,13751,14547,-1.12,2.42,9.45,7.03,-3.54,61.21,64.75,125.96
109年1月,-2164,28,1507,1479,-2192,13980,16172,-9.66,0.13,6.73,6.6,-9.79,62.43,72.22,134.64
109年2月,-3793,40,1651,1611,-3833,15369,19202,-18.11,0.19,7.89,7.7,-18.32,73.45,91.76,165.21
109年3月,-3798,60,1661,1601,-3858,16571,20429,-16.99,0.27,7.44,7.17,-17.27,74.19,91.46,165.65
109年4月,-4203,55,1548,1493,-4258,12813,17071,-19.46,0.25,7.17,6.92,-19.73,59.36,79.09,138.46
109年5月,-4698,22,1399,1377,-4720,15199,19919,-21.08,0.1,6.28,6.18,-21.2,68.26,89.46,157.73
109年6月,-2242,319,1701,1382,-2561,15614,18175,-10.41,1.48,7.9,6.42,-11.9,72.56,84.46,157.02
109年7月,-4106,-11,1397,1408,-4095,18176,22271,-18.47,-0.05,6.29,6.34,-18.44,81.84,100.28,182.12
109年8月,-4395,148,1398,1250,-4543,17798,22341,-19.8,0.67,6.3,5.64,-20.49,80.27,100.76,181.03
109年9月,-4880,184,1551,1367,-5064,21733,26797,-22.76,0.86,7.24,6.38,-23.64,101.46,125.1,226.57
109年10月,-2430,121,1496,1375,-2551,13506,16057,-10.99,0.55,6.77,6.22,-11.54,61.11,72.65,133.75
109年11月,-2963,285,1636,1351,-3248,14351,17599,-13.86,1.33,7.66,6.32,-15.2,67.16,82.36,149.53
109年12月,-2951,566,2084,1518,-3517,15981,19498,-13.37,2.57,9.45,6.88,-15.95,72.46,88.41,160.87
110年1月,-4783,-670,960,1630,-4113,13022,17135,-21.64,-3.03,4.35,7.38,-18.63,58.97,77.6,136.57
110年2月,-4757,-208,1253,1461,-4549,12121,16670,-23.87,-1.04,6.29,7.34,-22.85,60.88,83.73,144.61
110年3月,-6218,-102,1602,1704,-6116,17333,23449,-28.24,-0.46,7.28,7.75,-27.81,78.8,106.61,185.41
110年4月,-5654,-13,1419,1432,-5641,14448,20089,-26.59,-0.06,6.68,6.74,-26.56,68.03,94.59,162.63
110年5月,-6302,-193,1290,1483,-6109,11446,17555,-28.75,-0.88,5.89,6.77,-27.9,52.28,80.18,132.46
110年6月,-4614,-181,1718,1899,-4433,11018,15451,-21.8,-0.86,8.13,8.98,-20.97,52.11,73.08,125.19
110年7月,-7352,-523,1223,1746,-6829,13482,20311,-33.68,-2.4,5.61,8.01,-31.33,61.85,93.18,155.04
110年8月,-8940,-145,1319,1464,-8795,17049,25844,-41.07,-0.67,6.07,6.74,-40.48,78.47,118.94,197.41
110年9月,-9078,83,1438,1355,-9161,21281,30442,-43.25,0.4,6.86,6.47,-43.72,101.57,145.29,246.85
110年10月,-6421,48,1407,1359,-6469,14013,20482,-29.71,0.22,6.52,6.3,-29.97,64.92,94.89,159.81
110年11月,-6640,-45,1491,1536,-6595,14912,21507,-31.83,-0.22,7.16,7.37,-31.65,71.57,103.22,174.79
110年12月,-7266,21,1575,1554,-7287,16226,23513,-33.79,0.1,7.34,7.24,-33.94,75.57,109.51,185.08
111年1月,-9968,-235,1410,1645,-9733,14758,24491,-46.49,-1.1,6.59,7.69,-45.49,68.97,114.46,183.43
111年2月,-9828,-347,1075,1422,-9481,11656,21137,-50.95,-1.8,5.58,7.39,-49.25,60.55,109.8,170.34
111年3月,-14152,-505,1330,1835,-13647,17860,31507,-66.53,-2.38,6.27,8.65,-64.34,84.2,148.54,232.73
111年4月,-12321,-221,1197,1418,-12100,14003,26103,-60.19,-1.08,5.86,6.94,-59.26,68.58,127.84,196.42
111年5月,-7525,-838,959,1797,-6687,14623,21310,-35.75,-3.99,4.56,8.55,-31.82,69.58,101.4,170.99
111年6月,-6147,-989,1160,2149,-5158,17522,22680,-30.27,-4.88,5.72,10.6,-25.43,86.4,111.83,198.22
111年7月,-1970,-528,1166,1694,-1442,20338,21780,-9.41,-2.52,5.57,8.1,-6.89,97.21,104.1,201.3
111年8月,-787,-523,1261,1784,-264,20296,20560,-3.76,-2.5,6.03,8.53,-1.26,97.06,98.32,195.38
111年9月,-763,-459,1254,1713,-304,22352,22656,-3.77,-2.27,6.2,8.47,-1.5,110.49,111.99,222.48
111年10月,4678,-464,1252,1716,5142,17443,12301,22.38,-2.22,5.98,8.2,24.58,83.38,58.8,142.17
111年11月,6937,-653,1190,1843,7590,21664,14074,34.23,-3.22,5.86,9.08,37.4,106.75,69.35,176.1
111年12月,8134,-493,1274,1767,8627,28571,19944,38.73,-2.34,6.06,8.4,41.01,135.83,94.82,230.65
112年1月,7362,-659,1123,1782,8021,20693,12672,34.94,-3.12,5.32,8.45,38.01,98.07,60.06,158.13
112年2月,2090,-925,1017,1942,3015,19088,16073,10.95,-4.84,5.33,10.17,15.79,99.97,84.18,184.14
112年3月,4680,-776,1275,2051,5456,23945,18489,22.13,-3.67,6.02,9.69,25.77,113.11,87.34,200.45
112年4月,3675,-458,1083,1541,4133,16533,12400,17.92,-2.23,5.28,7.51,20.14,80.57,60.43,141
112年5月,3500,-319,1421,1740,3819,21916,18097,16.49,-1.5,6.69,8.19,17.98,103.21,85.22,188.43
